airport_id	airport_name	city	country	airport_iata	airport_icao	latitude	longitude
5882	Kuini Lavenia Airport	Niuatoputapu	Tonga	NTT	NFTP	-15.977297	-173.791089
5883	Vanua Balavu Airport	Vanua Balavu	Fiji	VBV	NFVB	-17.2689990997	-178.9759979248
5884	Niue International Airport	Alofi	Niue	IUE	NIUE	-19.0790309906	-169.9255981445
5885	Pointe Vele Airport	Futuna Island	Wallis and Futuna	FUT	NLWF	-14.3114004135	-178.065994263
5887	Maota Airport	Savaii Island	Samoa	MXS	NSMA	-13.7423000336	-172.2579956055
5888	Apataki Airport	Apataki	French Polynesia	APK	NTGD	-15.5736	-146.414993
5889	Ahe Airport	Ahe	French Polynesia	AHE	NTHE	-14.4280996323	-146.2570037842
5890	Hiva Oa-Atuona Airport	Hiva-oa	French Polynesia	AUQ	NTMN	-9.7687902451	-139.011001587
5891	Ua Pou Airport	Ua Pou	French Polynesia	UAP	NTMP	-9.35167	-140.078003
5892	Ua Huka Airport	Ua Huka	French Polynesia	UAH	NTMU	-8.93611	-139.552002
5893	Mota Lava Airport	Ablow	Vanuatu	MTV	NVSA	-13.6660003662	167.712005615
5894	Sola Airport	Sola	Vanuatu	SLH	NVSC	-13.8516998291	167.537002563
