airline_id	airline_name	country	airline_iata	airline_icao	alias
17574	Air Indus	Pakistan	PP	AI0	Indus Airlines Pak
17628	Orbit International Airlines	United States	null	OAI	null
17629	Orbit Regional Airlines	United States	null	OAR	null
17630	Orbit Atlantic Airways	United States	null	OAN	null
17658	Volotea	Spain	null	VOO	null
17675	Peach Aviation	Japan	MM	null	null
17694	Helitt Líneas Aéreas	Spain	null	HTH	null
17695	Russia State Transport	Russia	null	RSD	Federal State Budget Inst
17726	Malaysia Wings	Malaysia	null	MWI	null
17750	Aviabus	Russia	U1	ABI	null
17780	Michael Airlines	Puerto Rico	DF	MJG	Javi
17786	Korongo Airlines	Congo (Kinshasa)	ZC	KGO	null
17794	Indonesia Sky	Indonesia	I5	IDS	null
17841	Aws express	United States	B0	666	null
17859	Southjet	United States	76	SJS	null
17860	Southjet connect	United States	77	ZCS	null
17862	Southjet cargo	United States	78	XAN	null
17881	Iberia Express	Spain	I2	IBS	null
17885	Interjet (ABC Aerolineas)	Mexico	4O	null	null
17889	AirOnix	Ukraine	OG	null	null
17890	Nordic Global Airlines	Finland	NJ	NGB	null
17891	Scoot	Singapore	TZ	SCO	null
17909	Hi Fly (5K)	Portugal	5K	null	null
17911	China Northwest Airlines (WH)	China	WH	null	null
17935	Zenith International Airline	Thailand	ZN	ZNA	Zenith
17936	Orbit Airlines Azerbaijan	Azerbaijan	O1	OAB	Orbit Azerbaijan
17989	Air Alps Aviation (A6)	Austria	A6	null	null
18076	Flying kangaroo Airline	Australia	null	FKA	Skippy
18083	RusJet	Russia	null	RSJ	null
18118	VietJet Air	Vietnam	null	VJC	VietJet
18169	Patriot Airways	United States	P4	null	null
18178	Vision Airlines (V2)	United States	V2	RBY	null
18232	BQB Lineas Aereas	Uruguay	5Q	null	Buquebus
18237	AirAsia Japan	Japan	null	WAJ	null
18239	Yellowtail	United States	YE	YEL	null
18241	Royal Airways	United States	KG	RAW	Royal Inc.
18252	FlyHigh Airlines Ireland (FH)	Ireland	FH	FHI	null
18257	Executive AirShare	United States	null	XSR	null
18475	Hebei Airlines	China	null	HBH	null
18476	Air KBZ	Burma	null	KBZ	null
18477	Aero VIP (2D)	Portugal	2D	null	null
18497	Yangon Airways Ltd.	Burma	YH	null	null
18529	T.J. Air	United States	TJ	TJA	null
18543	SkyWork Airlines	Switzerland	SX	null	null
18553	Maastricht Airlines	Netherlands	W2	null	null
18617	Euro Jet	Germany	24	null	null
18621	Ukraine Atlantic	Ukraine	null	UAT	null
18668	Nesma Airlines	Egypt	null	NMA	null
18672	East Horizon	Afghanistan	null	EHN	null
18676	Air Majoro	Peru	null	MJP	null
18692	Rotana Jet	United Arab Emirates	null	RJD	null
18700	SOCHI AIR CHATER	Russia	Q3	QER	Sochi Air
18702	Denim Air	Norway	J7	null	FlyNonstop
18732	Malindo Air	Malaysia	OD	MXD	null
18781	Hermes Airlines	Greece	null	HRM	null
18825	Flightlink Tanzania	Tanzania	Z9	null	Flightlink
18828	IzAvia	Russia	I8	null	null
18860	Катэкавиа	Russia	null	КТК	null
