"actor_id","actor_name"
"5632","Matthew Montgomery"
"5633","Jamal Al Gashey"
"5634","Paul Andrews"
"5635","Peter Falk"
"5636","Chris Langham"
"5637","Kerry Armstrong"
"5638","Raghuvir Yadav"
"5639","Andy Lau"
"5640","Ray Winstone"
"5641","Carola Neher"
"5642","Elisabeth Wagner"
"5643","Colin Ford"
"5644","Laraine Day"
"5645","Richard Bellos"
"5646","Stephanie McFadden"
"5647","Ray Barlow"
"5648","António Assunção"
"5649","Gohki Kashiyama"
"5650","Lubna Azabal"
"5651","Peter Gallagher"
"5652","Simon Pegg"
"5653","Ian Giatti"
"5654","Ricardo Montalban"
"5655","Kris Kristofferson"
"5656","Candice Bergen"
"5657","Colin Farrell"
"5658","Richard Gant"
"5659","Yifei Liu"
"5660","Melchior Derouet"
"5661","Adrián Navarro"
"5662","Diem Kieu"
"5663","Steve Irwin"
"5664","Hugh Dickson"
"5665","Fedja van Huêt"
"5666","Cliff Saunders"
"5667","Peter Dobson"
"5668","Eileen Essell"
"5669","Marvin Elkins"
"5670","Frederick Parslow"
"5671","Orgyen Tobgyal"
"5672","Enzo Staiola"
"5673","Nancy Olson"
"5674","Carl Lumbly"
"5675","Rusty Schwimmer"
"5676","Jamie Dornan"
"5677","Sandy Nelson"
"5678","Takashi Naitô"
"5679","Marissa Gaspay"
"5680","Richard Harris"
"5681","Reggie Bannister"
"5682","Elle Fanning"
"5683","Tom McGrath"
"5684","Ingrid Thulin"
"5685","Mark Deakins"
"5686","Joe Simpson"
"5687","Nat Pendleton"
"5688","Atsuko Tanaka"
"5689","Kathryn Erbe"
"5690","Anna Tsuchiya"
"5691","William Marshall"
"5692","William Katt"
"5693","Rand Bridges"
"5694","Jean Ainslie"
"5695","Jean Marais"
"5696","Madhavan"
"5697","Jean-Pierre Marielle"
"5698","Sallie Perryman"
"5699","Barbara Eden"
"5700","Melvin Goodman"
"5701","Antonin Zacpal"
"5702","PJ Harvey"
"5703","Anna Gourari"
"5704","Gary Hershberger"
"5705","Shirley Bassey"
"5706","Lucy Walters"
"5707","Claire Benito"
"5708","Tamara Hope"
"5709","Ann Magnuson"
"5710","Savion Glover"
"5711","Merle Oberon"
"5712","Daniella Kertesz"
"5713","David Connolly"
"5714","Christopher Soren Kelly"
"5715","Pollyanna Rose"
"5716","Kurt Fuller"
"5717","Jûkichi Uno"
"5718","Justin Barreto"
"5719","Mark Flannagan"
"5720","Alexander Armstrong"
"5721","Edward Chapman"
"5722","Sessue Hayakawa"
"5723","Paul Carafotes"
"5724","Juan Andrés Silva"
"5725","Anastasia Bredikhina"
"5726","Michael Bloomberg"
"5727","Shûgo Oshinari"
"5728","Julie Adams"
"5729","Paula Abdul"
"5730","Darelle 'Dino' Butler"
"5731","Audrey Fleurot"
"5732","Warren Clarke"
"5733","Leon Niemczyk"
"5734","Larry Miller"
"5735","Lloyd Berry"
"5736","Joonas Saartamo"
"5737","Sharon Brown"
"5738","Catherine Salée"
"5739","Hee-won Kim"
"5740","Matt George"
"5741","Marcy Goldman"
"5742","Jim Breuer"
"5743","Griffin Dunne"
"5744","Friedrich von Ledebur"
"5745","Fini Straubinger"
"5746","Porter Hall"
"5747","Geneviève Mnich"
"5748","Sarah Henderson"
"5749","Dearbhla Molloy"
"5750","Steven Robertson"
"5751","Michael Vechesky"
"5752","Lloyd Hollar"
"5753","Charles Drake"
"5754","Fred Willard"
"5755","Ralph Cotterill"
"5756","Steve Ballard"
"5757","David Lawrence"
"5758","Aleksandr Antonov"
"5759","Bruno Garcia"
"5760","David Allen Brooks"
"5761","Michael Fassbender"
"5762","James Fox"
"5763","Michael-Leon Wooley"
"5764","Eva Cobo"
"5765","Dan DiMaggio"
